subject,level,det,rmi,ood
1,_level_1,0.40026714158504006,0.6997873709158655,1
1,_level_2,0.6932367149758454,0.8391056286481294,1
1,_level_3,0.24020552344251767,0.5559276639428847,1
1,_level_4,0.2561247216035635,0.5649978713824528,1
1,_level_5,0.2542885973763875,0.560706396515205,1
1,_level_6,0.5409836065573771,0.7541915605313655,1
1,_level_7,0.13607188703465983,0.48268715572357934,1
1,_level_8,0.47848101265822784,0.7676201812606485,1
1,_level_9,0.20470896010464357,0.4612880517501339,1
1,_level_10,0.14313919052319843,0.4744257559429004,1
3,_level_1,0.14135802469135803,0.5419143304193507,1
3,_level_2,0.6230769230769231,0.8101371040524017,1
3,_level_3,0.1083969465648855,0.44992291961412667,1
3,_level_4,0.11403508771929824,0.4389314630246661,1
3,_level_5,0.15973741794310722,0.532666556822274,1
3,_level_6,0.3209054593874834,0.648690522972571,1
3,_level_7,0.11672278338945005,0.4787213787098288,1
3,_level_8,0.09182736455463728,0.493244541481331,1
3,_level_9,0.13685550604710375,0.4983256324700982,1
3,_level_10,0.09318323952470293,0.41162734165990544,1
8,_level_1,0.11033681765389082,0.48395050984162435,1
8,_level_2,0.3360995850622407,0.6423469657665113,1
8,_level_3,0.1723202170963365,0.552178169454328,1
8,_level_4,0.10423825887743414,0.3512563413600578,1
8,_level_5,0.04847908745247148,0.4481212073207582,1
8,_level_6,0.36755952380952384,0.6234792055790814,1
8,_level_7,0.043758043758043756,0.4839438396070168,1
8,_level_8,0.5087956698240866,0.7555903908015476,1
8,_level_9,0.1486570893191755,0.5030676015601925,1
8,_level_10,0.11252511721366376,0.41131029934384866,1
4,_level_1,0.08203677510608204,0.2679404909376326,1
4,_level_2,0.044189852700491,0.341556177505729,1
4,_level_3,0.0945054945054945,0.3437047146912011,1
4,_level_4,NA,NA,NA
4,_level_5,0.13027744270205066,0.4631702495298414,1
4,_level_6,0.23917525773195877,0.4936397192516413,1
4,_level_7,0.08933002481389578,0.354885961171441,1
4,_level_8,0.2430858806404658,0.46483397862779796,1
4,_level_9,0.08743718592964825,0.40808067521499125,1
4,_level_10,0.025914634146341462,0.28362008721462095,1
6,_level_1,0.04020979020979021,0.3700319880944557,1
6,_level_2,0.23042836041358936,0.5444334652544449,1
6,_level_3,0.02719343252950231,0.2979139654656968,1
6,_level_4,0.023446942228668118,0.3344273891326073,1
6,_level_5,0.016614745586708203,0.23316125609154958,1
6,_level_6,0.12372634643377002,0.38855528055190125,1
6,_level_7,0.08066581306017925,0.39643636994341636,1
6,_level_8,0.12481857764876633,0.4087440695858111,1
6,_level_9,0.030949105914718018,0.38467074064262197,1
6,_level_10,0.014258188824662813,0.319543388135448,1
7,_level_1,0.08292383292383293,0.46621400126704016,1
7,_level_2,0.06073752711496746,0.37118587849425333,1
7,_level_3,0.10099573257467995,0.4592132545434253,1
7,_level_4,0.3230429988974642,0.6031335187408036,1
7,_level_5,0.07766990291262135,0.3391698541391309,1
7,_level_6,0.18640776699029127,0.503067592856447,1
7,_level_7,0.08733624454148471,0.43447956676331234,1
7,_level_8,0.19642857142857142,0.4123594518008855,1
7,_level_9,0.18440860215053764,0.47512282692535757,1
7,_level_10,0.02704056084126189,0.3426736181207535,1
