obj_ID,point_value,x,y
1,1,15,23.5
2,2,15,20
3,4,10,20
4,1,20,20
5,4,12.5,17.5
6,2,17.5,17.5
7,5,6.5,15
8,5,10,15
9,2,15,15
10,2,20,15
11,1,23.5,15
12,4,12.5,12.5
13,4,17.5,12.5
14,5,10,10
15,5,15,10
16,4,20,10
17,5,15,6.5
18,1,15,-23.5
19,2,15,-20
20,4,10,-20
21,1,20,-20
22,4,12.5,-17.5
23,2,17.5,-17.5
24,5,6.5,-15
25,5,10,-15
26,2,15,-15
27,2,20,-15
28,1,23.5,-15
29,4,12.5,-12.5
30,4,17.5,-12.5
31,5,10,-10
32,5,15,-10
33,4,20,-10
34,5,15,-6.5
35,1,-15,23.5
36,2,-15,20
37,4,-10,20
38,1,-20,20
39,4,-12.5,17.5
40,2,-17.5,17.5
41,5,-6.5,15
42,5,-10,15
43,2,-15,15
44,2,-20,15
45,1,-23.5,15
46,4,-12.5,12.5
47,4,-17.5,12.5
48,5,-10,10
49,5,-15,10
50,4,-20,10
51,5,-15,6.5
52,1,-15,-23.5
53,2,-15,-20
54,4,-10,-20
55,1,-20,-20
56,4,-12.5,-17.5
57,2,-17.5,-17.5
58,5,-6.5,-15
59,5,-10,-15
60,2,-15,-15
61,2,-20,-15
62,1,-23.5,-15
63,4,-12.5,-12.5
64,4,-17.5,-12.5
65,5,-10,-10
66,5,-15,-10
67,4,-20,-10
68,5,-15,-6.5
