obj_ID,point_value,x,y
1,2,15,23.5
2,2,15,20
3,2,10,20
4,2,20,20
5,2,12.5,17.5
6,2,17.5,17.5
7,2,6.5,15
8,2,10,15
9,2,15,15
10,2,20,15
11,2,23.5,15
12,2,12.5,12.5
13,2,17.5,12.5
14,2,10,10
15,2,15,10
16,2,20,10
17,2,15,6.5
18,2,15,-23.5
19,2,15,-20
20,2,10,-20
21,2,20,-20
22,2,12.5,-17.5
23,2,17.5,-17.5
24,2,6.5,-15
25,2,10,-15
26,2,15,-15
27,2,20,-15
28,2,23.5,-15
29,2,12.5,-12.5
30,2,17.5,-12.5
31,2,10,-10
32,2,15,-10
33,2,20,-10
34,2,15,-6.5
35,2,-15,23.5
36,2,-15,20
37,2,-10,20
38,2,-20,20
39,2,-12.5,17.5
40,2,-17.5,17.5
41,2,-6.5,15
42,2,-10,15
43,2,-15,15
44,2,-20,15
45,2,-23.5,15
46,2,-12.5,12.5
47,2,-17.5,12.5
48,2,-10,10
49,2,-15,10
50,2,-20,10
51,2,-15,6.5
52,2,-15,-23.5
53,2,-15,-20
54,2,-10,-20
55,2,-20,-20
56,2,-12.5,-17.5
57,2,-17.5,-17.5
58,2,-6.5,-15
59,2,-10,-15
60,2,-15,-15
61,2,-20,-15
62,2,-23.5,-15
63,2,-12.5,-12.5
64,2,-17.5,-12.5
65,2,-10,-10
66,2,-15,-10
67,2,-20,-10
68,2,-15,-6.5
