obj_ID,point_value,x,y
1,1,15,23.5
2,4,10,20
3,2,15,20
4,1,20,20
5,4,12.5,17.5
6,2,17.5,17.5
7,5,6.5,15
8,5,10,15
9,2,15,15
10,2,20,15
11,1,23.5,15
12,4,12.5,12.5
13,4,17.5,12.5
14,5,10,10
15,5,15,10
16,4,20,10
17,5,15,6.5
18,1,-15,30
19,1,-25,25
20,2,-15,25
21,4,-5,25
22,2,-20,20
23,4,-10,20
24,1,-30,15
25,2,-25,15
26,2,-15,15
27,5,-5,15
28,5,0,15
29,4,-20,10
30,4,-10,10
31,4,-25,5
32,5,-15,5
33,5,-5,5
34,5,-15,0
35,5,10,-1.5
36,5,5,-5
37,5,10,-5
38,4,15,-5
39,4,7.5,-7.5
40,4,12.5,-7.5
41,5,1.5,-10
42,5,5,-10
43,2,10,-10
44,2,15,-10
45,1,18.5,-10
46,4,7.5,-12.5
47,2,12.5,-12.5
48,4,5,-15
49,2,10,-15
50,1,15,-15
51,1,10,-18.5
52,5,-20,-5
53,4,-30,-10
54,5,-20,-10
55,5,-10,-10
56,4,-25,-15
57,4,-15,-15
58,2,-30,-20
59,2,-20,-20
60,5,-10,-20
61,5,-5,-20
62,2,-25,-25
63,4,-15,-25
64,1,-30,-30
65,2,-20,-30
66,4,-10,-30
