obj_ID,point_value,x,y
1,1,10,18.5
2,4,5,15
3,2,10,15
4,1,15,15
5,4,7.5,12.5
6,2,12.5,12.5
7,5,1.5,10
8,5,5,10
9,2,10,10
10,2,15,10
11,1,18.5,10
12,4,7.5,7.5
13,4,12.5,7.5
14,5,5,5
15,5,10,5
16,4,15,5
17,5,10,1.5
18,1,15,-23.5
19,2,15,-20
20,4,10,-20
21,1,20,-20
22,4,12.5,-17.5
23,2,17.5,-17.5
24,5,6.5,-15
25,5,10,-15
26,2,15,-15
27,2,20,-15
28,1,23.5,-15
29,4,12.5,-12.5
30,4,17.5,-12.5
31,5,10,-10
32,5,15,-10
33,4,20,-10
34,5,15,-6.5
35,1,-15,23.5
36,2,-15,20
37,4,-10,20
38,1,-20,20
39,4,-12.5,17.5
40,2,-17.5,17.5
41,5,-6.5,15
42,5,-10,15
43,2,-15,15
44,2,-20,15
45,1,-23.5,15
46,4,-12.5,12.5
47,4,-17.5,12.5
48,5,-10,10
49,5,-15,10
50,4,-20,10
51,5,-15,6.5
52,1,-10,-18.5
53,4,-5,-15
54,2,-10,-15
55,1,-15,-15
56,4,-7.5,-12.5
57,2,-12.5,-12.5
58,5,-1.5,-10
59,5,-5,-10
60,2,-10,-10
61,2,-15,-10
62,1,-18.5,-10
63,4,-7.5,-7.5
64,4,-12.5,-7.5
65,5,-5,-5
66,5,-10,-5
67,4,-15,-5
68,5,-10,-1.5
