obj_ID, point_value, x, y
1, 5, 15, 23.5
2, 2, 10, 20
3, 4, 15, 20
4, 5, 20, 20
5, 2, 12.5, 17.5
6, 4, 17.5, 17.5
7, 1, 6.5, 15
8, 1, 10, 15
9, 4, 15, 15
10, 4, 20, 15
11, 5, 23.5, 15
12, 2, 12.5, 12.5
13, 2, 17.5, 12.5
14, 1, 10, 10
15, 1, 15, 10
16, 2, 20, 10
17, 1, 15, 6.5
18, 5, -15, 30
19, 5, -25, 25
20, 4, -15, 25
21, 2, -5, 25
22, 4, -20, 20
23, 2, -10, 20
24, 5, -30, 15
25, 4, -25, 15
26, 4, -15, 15
27, 1, -5, 15
28, 1, 0, 15
29, 2, -20, 10
30, 2, -10, 10
31, 2, -25, 5
32, 1, -15, 5
33, 1, -5, 5
34, 1, -15, 0
35, 1, 10, -1.5
36, 1, 5, -5
37, 1, 10, -5
38, 2, 15, -5
39, 2, 7.5, -7.5
40, 2, 12.5, -7.5
41, 1, 1.5, -10
42, 1, 5, -10
43, 4, 10, -10
44, 4, 15, -10
45, 5, 18.5, -10
46, 2, 7.5, -12.5
47, 4, 12.5, -12.5
48, 2, 5, -15
49, 4, 10, -15
50, 5, 15, -15
51, 5, 10, -18.5
52, 1, -20, -5
53, 2, -30, -10
54, 1, -20, -10
55, 1, -10, -10
56, 2, -25, -15
57, 2, -15, -15
58, 4, -30, -20
59, 4, -20, -20
60, 1, -10, -20
61, 1, -5, -20
62, 4, -25, -25
63, 2, -15, -25
64, 5, -30, -30
65, 4, -20, -30
66, 2, -10, -30
