obj_ID,point_value,x,y
1,2,10,18.5
2,2,5,15
3,2,10,15
4,2,15,15
5,2,7.5,12.5
6,2,12.5,12.5
7,2,1.5,10
8,2,5,10
9,2,10,10
10,2,15,10
11,2,18.5,10
12,2,7.5,7.5
13,2,12.5,7.5
14,2,5,5
15,2,10,5
16,2,15,5
17,2,10,1.5
18,2,15,-23.5
19,2,15,-20
20,2,10,-20
21,2,20,-20
22,2,12.5,-17.5
23,2,17.5,-17.5
24,2,6.5,-15
25,2,10,-15
26,2,15,-15
27,2,20,-15
28,2,23.5,-15
29,2,12.5,-12.5
30,2,17.5,-12.5
31,2,10,-10
32,2,15,-10
33,2,20,-10
34,2,15,-6.5
35,2,-15,23.5
36,2,-15,20
37,2,-10,20
38,2,-20,20
39,2,-12.5,17.5
40,2,-17.5,17.5
41,2,-6.5,15
42,2,-10,15
43,2,-15,15
44,2,-20,15
45,2,-23.5,15
46,2,-12.5,12.5
47,2,-17.5,12.5
48,2,-10,10
49,2,-15,10
50,2,-20,10
51,2,-15,6.5
52,2,-10,-18.5
53,2,-5,-15
54,2,-10,-15
55,2,-15,-15
56,2,-7.5,-12.5
57,2,-12.5,-12.5
58,2,-1.5,-10
59,2,-5,-10
60,2,-10,-10
61,2,-15,-10
62,2,-18.5,-10
63,2,-7.5,-7.5
64,2,-12.5,-7.5
65,2,-5,-5
66,2,-10,-5
67,2,-15,-5
68,2,-10,-1.5
