obj_ID,point_value,x,y
1,5,15,23.5
2,4,15,20
3,2,10,20
4,5,20,20
5,2,12.5,17.5
6,4,17.5,17.5
7,1,6.5,15
8,1,10,15
9,4,15,15
10,4,20,15
11,5,23.5,15
12,2,12.5,12.5
13,2,17.5,12.5
14,1,10,10
15,1,15,10
16,2,20,10
17,1,15,6.5
18,5,-15,23.5
19,4,-15,20
20,2,-10,20
21,5,-20,20
22,2,-12.5,17.5
23,4,-17.5,17.5
24,1,-6.5,15
25,1,-10,15
26,4,-15,15
27,4,-20,15
28,5,-23.5,15
29,2,-12.5,12.5
30,2,-17.5,12.5
31,1,-10,10
32,1,-15,10
33,2,-20,10
34,1,-15,6.5
35,5,15,-23.5
36,4,15,-20
37,2,10,-20
38,5,20,-20
39,2,12.5,-17.5
40,4,17.5,-17.5
41,1,6.5,-15
42,1,10,-15
43,4,15,-15
44,4,20,-15
45,5,23.5,-15
46,2,12.5,-12.5
47,2,17.5,-12.5
48,1,10,-10
49,1,15,-10
50,2,20,-10
51,1,15,-6.5
52,5,-15,-23.5
53,4,-15,-20
54,2,-10,-20
55,5,-20,-20
56,2,-12.5,-17.5
57,4,-17.5,-17.5
58,1,-6.5,-15
59,1,-10,-15
60,4,-15,-15
61,4,-20,-15
62,5,-23.5,-15
63,2,-12.5,-12.5
64,2,-17.5,-12.5
65,1,-10,-10
66,1,-15,-10
67,2,-20,-10
68,1,-15,-6.5
